Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
MARINARO;AGUA TONICA SALVADOR 1.5 L;222;270;21,62;1500;12,61;7795176771313;574;11/05/2023
BADIE;AGUA TONICA SANTA QUINA 1 L.;134,81;170;26;930;14,98;737186377120;94;11/05/2023
SECCO;AGUA TONICA SECCO 2,25 L.;255;320;25;1800;17,65;7792758322291;9823;11/05/2023
SAN JUAN;AGUA TONICA SIERRA DE LOS PADRES 1,5 L.;216;270;25;1500;15,74;7798065733706;916;11/05/2023
MARCOS DISTRIBUCIONES;AGUA VIDA  1.5 L.;22,5;30;33;154,99;14,81;7790036974538;98;11/05/2023
PEJINAKIS;AGUA VILLA DEL SUR 1,650 L.;157,75;190;20;1080;14,1;7790315000149;51;11/05/2023
PEJINAKIS;AGUA VILLA DEL SUR 2.25 L;168,46;210;25;1170;15,75;7798062547559;155;11/05/2023
PEJINAKIS;AGUA VILLA DEL SUR 2.5 L;64,3;80;24;0;0;7798062543469;983;11/05/2023
PEJINAKIS;AGUA VILLA DEL SUR X 600CC;45,61;60;32;630;15,11;7798062540109;65393;11/05/2023
PEJINAKIS;AGUA VILLAVICENCIO 1.5 L;246;300;22;1700;15,18;7790315000439;9459;11/05/2023
PEJINAKIS;AGUA VILLAVICENCIO LIMON C/GAS;40,75;50;23;540;10,43;7798062545159;88;11/05/2023
SECCO;AGUA VITALISSIMA BAJA EN SODIO 3 L;35,12;45;28;180;28,13;754697509123;97;11/05/2023
PEJINAKIS;AGUA WE SER X 1.5 L;29,01;38;30;0;0;7798062542035;67;11/05/2023
VASCO;ALARIS TEMPRANILLO;135,32;170;26;940;15,77;7790240041873;180;11/05/2023
OTROS;ALCOHOL BIALCOHOL X 500 CC;18,14;25;37;0;0;7790139003807;994;11/05/2023
ALMACEN;ALCOHOL FRAU 250 ML;78;100;29;524;12;7795422000082;93;11/05/2023
BARRICA BEBIDAS;ALCOHOL FRAU X 250 CM;10,1;15;48;0;0;7795422000068;10;11/05/2023
BARRICA BEBIDAS;ALCOHOL FRAU X 500CM;16,7;25;49;0;0;7795422000044;3;11/05/2023
ARCOR;ALFABLOCK 40 GR.;54,63;77;41;367,14;12;7790580123499;111;11/05/2023
ARCOR;ALFAJOR  MINI TORTA BROWNIE 74G;161;220;37;0;0;7790040133594;65139;11/05/2023
ARCOR;ALFAJOR  MINITORTA FRUTOS ROJOS 74 GR.;161;220;37;0;0;7790040112858;953;11/05/2023
TERRABUSI;ALFAJOR  TERRABUSI DULCE DE LECHE 70 G;170;230;35;0;-100;77903792;557;11/05/2023
ARCOR;ALFAJOR  TOFI  TRIPLE BLANCO X 73G;161;220;37;0;0;7790040953703;53026;11/05/2023
ARCOR;01/06/2001;149,34;187;25;1003,56;12;7790040133631;99;11/05/2023
ARCOR;ALFAJOR AGUILA MINI TORTA CLASICA 72G;161;220;37;0;0;7790040298705;65275;11/05/2023
ARCOR;ALFAJOR AGUILA MINITORTA COCO X 73 G;156;220;41;0;0;7790040298903;65390;11/05/2023
ARCOR;ALFAJOR BAGLEY BLANCO B & N 50 G;29,04;48;67;0;0;7790040996403;925;11/05/2023
ARCOR;ALFAJOR BAGLEY NEGRO B & N 50 G;29,04;48;67;0;0;7790040996304;905;11/05/2023
ARCOR;ALFAJOR BAGLEY NEGRO B & N 73.5G;150,4;200;33;0;0;7790040375000;65124;11/05/2023
ARCOR;ALFAJOR BLANCO & NEGRO BLANCO  73.5G;145,83;200;37;0;0;7790040991910;65058;11/05/2023
PALACIO;ALFAJOR BOMBON RECOLETA NEGRO 35GR.;7,41;10;29;0;0;7790893000234;994;11/05/2023
ARCOR;ALFAJOR BON O BOM NEGRO SIMPLE 40G;64,15;90;40;0;0;7790040613706;65326;11/05/2023
